分数,本段人数,累计人数
500分及以上,,
499,,
498,,
497,,
496,,
495,,
494,,
493,,
492,,
491,,
490,,
489,,
488,,
487,,
486,1,1
485,,1
484,,1
483,1,2
482,,2
481,,2
480,1,3
479,1,4
478,4,8
477,,8
476,,8
475,5,13
474,4,17
473,2,19
472,3,22
471,3,25
470,3,28
469,1,29
468,8,37
467,5,42
466,5,47
465,8,55
464,7,62
463,8,70
462,10,80
461,4,84
460,10,94
459,5,99
458,9,108
457,9,117
456,10,127
455,14,141
454,14,155
453,17,172
452,10,182
451,16,198
450,12,210
449,14,224
448,9,233
447,9,242
446,13,255
445,12,267
444,18,285
443,18,303
442,23,326
441,13,339
440,13,352
439,17,369
438,18,387
437,13,400
436,10,410
435,13,423
434,17,440
433,12,452
432,13,465
431,10,475
430,13,488
429,19,507
428,20,527
427,9,536
426,13,549
425,12,561
424,16,577
423,14,591
422,12,603
421,14,617
420,19,636
419,15,651
418,7,658
417,12,670
416,16,686
415,12,698
414,10,708
413,13,721
412,11,732
411,10,742
410,14,756
409,16,772
408,16,788
407,11,799
406,13,812
405,12,824
404,11,835
403,11,846
402,3,849
401,15,864
400,9,873
399,9,882
398,10,892
397,9,901
396,8,909
395,10,919
394,7,926
393,12,938
392,12,950
391,11,961
390,10,971
389,15,986
388,12,998
387,7,1005
386,4,1009
385,3,1012
384,4,1016
383,5,1021
382,5,1026
381,9,1035
380,8,1043
379,10,1053
378,10,1063
377,4,1067
376,7,1074
375,13,1087
374,8,1095
373,5,1100
372,7,1107
371,4,1111
370,5,1116
369,5,1121
368,6,1127
367,6,1133
366,5,1138
365,,1138
364,2,1140
363,3,1143
362,5,1148
361,6,1154
360,5,1159
359,2,1161
358,8,1169
357,3,1172
356,3,1175
355,2,1177
354,4,1181
353,3,1184
352,1,1185
351,1,1186
350,3,1189
349,1,1190
348,2,1192
347,2,1194
346,3,1197
345,1,1198
344,3,1201
343,,1201
342,,1201
341,1,1202
340,3,1205
339,1,1206
338,2,1208
337,3,1211
336,2,1213
335,4,1217
334,,1217
333,1,1218
332,1,1219
331,,1219
330,2,1221
329,3,1224
328,,1224
327,,1224
326,2,1226
325,,1226
324,,1226
323,2,1228
322,1,1229
321,,1229
320,,1229
319,2,1231
318,,1231
317,1,1232
316,,1232
315,1,1233
314,,1233
313,,1233
312,,1233
311,,1233
310,1,1234
309,,1234
308,,1234
307,,1234
306,,1234
305,1,1235
304,,1235
303,,1235
302,,1235
301,,1235
300,,1235
300分以下,30,1265
