分数,本段人数,累计人数
500分及以上,,
499,3,3
498,1,4
497,,4
496,,4
495,,4
494,,4
493,1,5
492,,5
491,4,9
490,4,13
489,5,18
488,1,19
487,9,28
486,4,32
485,7,39
484,3,42
483,6,48
482,12,60
481,9,69
480,9,78
479,9,87
478,9,96
477,11,107
476,16,123
475,11,134
474,14,148
473,18,166
472,22,188
471,17,205
470,24,229
469,25,254
468,27,281
467,26,307
466,41,348
465,22,370
464,30,400
463,48,448
462,39,487
461,40,527
460,36,563
459,31,594
458,40,634
457,43,677
456,42,719
455,40,759
454,40,799
453,41,840
452,45,885
451,55,940
450,54,994
449,34,1028
448,43,1071
447,52,1123
446,47,1170
445,52,1222
444,49,1271
443,48,1319
442,51,1370
441,47,1417
440,45,1462
439,58,1520
438,50,1570
437,54,1624
436,51,1675
435,43,1718
434,33,1751
433,42,1793
432,44,1837
431,41,1878
430,58,1936
429,51,1987
428,51,2038
427,57,2095
426,45,2140
425,45,2185
424,38,2223
423,42,2265
422,46,2311
421,44,2355
420,32,2387
419,40,2427
418,33,2460
417,37,2497
416,35,2532
415,37,2569
414,34,2603
413,46,2649
412,31,2680
411,28,2708
410,27,2735
409,47,2782
408,33,2815
407,31,2846
406,31,2877
405,24,2901
404,29,2930
403,40,2970
402,27,2997
401,31,3028
400,32,3060
399,28,3088
398,21,3109
397,32,3141
396,23,3164
395,31,3195
394,27,3222
393,24,3246
392,13,3259
391,26,3285
390,22,3307
389,20,3327
388,24,3351
387,17,3368
386,14,3382
385,17,3399
384,21,3420
383,19,3439
382,15,3454
381,12,3466
380,15,3481
379,21,3502
378,18,3520
377,14,3534
376,11,3545
375,15,3560
374,8,3568
373,15,3583
372,17,3600
371,10,3610
370,13,3623
369,9,3632
368,7,3639
367,13,3652
366,9,3661
365,12,3673
364,7,3680
363,10,3690
362,8,3698
361,9,3707
360,4,3711
359,3,3714
358,6,3720
357,9,3729
356,6,3735
355,3,3738
354,6,3744
353,4,3748
352,8,3756
351,10,3766
350,4,3770
349,3,3773
348,6,3779
347,2,3781
346,5,3786
345,2,3788
344,4,3792
343,6,3798
342,5,3803
341,2,3805
340,2,3807
339,3,3810
338,3,3813
337,3,3816
336,8,3824
335,4,3828
334,2,3830
333,7,3837
332,1,3838
331,3,3841
330,2,3843
329,5,3848
328,5,3853
327,2,3855
326,1,3856
325,1,3857
324,3,3860
323,1,3861
322,3,3864
321,1,3865
320,3,3868
319,1,3869
318,4,3873
317,2,3875
316,3,3878
315,2,3880
314,1,3881
313,3,3884
312,3,3887
311,1,3888
310,6,3894
309,1,3895
308,1,3896
307,3,3899
306,,3899
305,3,3902
304,,3902
303,2,3904
302,2,3906
301,2,3908
300,2,3910
300分以下,185,4095
