分数,本段人数,累计人数
500分及以上,,
499,,
498,,
497,,
496,,
495,1,1
494,,1
493,,1
492,1,2
491,,2
490,,2
489,,2
488,,2
487,1,3
486,1,4
485,2,6
484,,6
483,2,8
482,1,9
481,1,10
480,3,13
479,1,14
478,4,18
477,,18
476,,18
475,,18
474,3,21
473,2,23
472,1,24
471,1,25
470,1,26
469,3,29
468,4,33
467,4,37
466,,37
465,,37
464,1,38
463,2,40
462,2,42
461,,42
460,2,44
459,3,47
458,,47
457,,47
456,3,50
455,2,52
454,1,53
453,3,56
452,2,58
451,,58
450,4,62
449,3,65
448,2,67
447,4,71
446,2,73
445,4,77
444,,77
443,4,81
442,2,83
441,3,86
440,2,88
439,4,92
438,3,95
437,4,99
436,2,101
435,2,103
434,5,108
433,3,111
432,2,113
431,4,117
430,2,119
429,2,121
428,1,122
427,4,126
426,1,127
425,2,129
424,2,131
423,1,132
422,3,135
421,2,137
420,2,139
419,2,141
418,1,142
417,2,144
416,7,151
415,2,153
414,4,157
413,2,159
412,2,161
411,7,168
410,1,169
409,3,172
408,2,174
407,6,180
406,,180
405,3,183
404,4,187
403,3,190
402,5,195
401,4,199
400,3,202
399,4,206
398,2,208
397,1,209
396,,209
395,1,210
394,2,212
393,2,214
392,1,215
391,3,218
390,6,224
389,3,227
388,4,231
387,1,232
386,4,236
385,1,237
384,1,238
383,3,241
382,3,244
381,1,245
380,3,248
379,2,250
378,,250
377,1,251
376,,251
375,1,252
374,1,253
373,2,255
372,,255
371,,255
370,2,257
369,,257
368,1,258
367,,258
366,,258
365,,258
364,,258
363,,258
362,,258
361,,258
360,3,261
359,,261
358,1,262
357,1,263
356,,263
355,,263
354,2,265
353,1,266
352,,266
351,,266
350,,266
349,1,267
348,,267
347,,267
346,,267
345,,267
344,,267
343,,267
342,,267
341,,267
340,,267
339,,267
338,1,268
337,,268
336,,268
335,,268
334,,268
333,,268
332,1,269
331,,269
330,,269
329,,269
328,,269
327,,269
326,,269
325,,269
324,1,270
323,,270
322,,270
321,,270
320,,270
319,,270
318,,270
317,,270
316,,270
315,1,271
314,,271
313,,271
312,,271
311,1,272
310,,272
309,,272
308,,272
307,,272
306,,272
305,1,273
304,,273
303,,273
302,,273
301,,273
300,,273
300分以下,7,280
