分数,本段人数,累计人数
500分及以上,4,4
499,,4
498,,4
497,1,5
496,1,6
495,4,10
494,2,12
493,3,15
492,1,16
491,10,26
490,8,34
489,10,44
488,11,55
487,8,63
486,14,77
485,13,90
484,17,107
483,24,131
482,24,155
481,21,176
480,28,204
479,27,231
478,33,264
477,40,304
476,31,335
475,29,364
474,33,397
473,37,434
472,35,469
471,35,504
470,37,541
469,49,590
468,47,637
467,45,682
466,55,737
465,55,792
464,67,859
463,51,910
462,54,964
461,65,1029
460,51,1080
459,50,1130
458,60,1190
457,41,1231
456,45,1276
455,40,1316
454,70,1386
453,56,1442
452,62,1504
451,61,1565
450,62,1627
449,70,1697
448,82,1779
447,51,1830
446,71,1901
445,60,1961
444,72,2033
443,71,2104
442,63,2167
441,57,2224
440,54,2278
439,53,2331
438,69,2400
437,64,2464
436,56,2520
435,66,2586
434,63,2649
433,54,2703
432,52,2755
431,59,2814
430,56,2870
429,71,2941
428,66,3007
427,48,3055
426,44,3099
425,48,3147
424,61,3208
423,72,3280
422,55,3335
421,50,3385
420,64,3449
419,40,3489
418,42,3531
417,66,3597
416,47,3644
415,51,3695
414,42,3737
413,63,3800
412,51,3851
411,48,3899
410,35,3934
409,41,3975
408,41,4016
407,35,4051
406,53,4104
405,32,4136
404,43,4179
403,54,4233
402,45,4278
401,24,4302
400,50,4352
399,44,4396
398,36,4432
397,42,4474
396,35,4509
395,35,4544
394,25,4569
393,25,4594
392,41,4635
391,26,4661
390,29,4690
389,31,4721
388,31,4752
387,29,4781
386,25,4806
385,39,4845
384,25,4870
383,33,4903
382,35,4938
381,24,4962
380,32,4994
379,30,5024
378,32,5056
377,22,5078
376,21,5099
375,24,5123
374,31,5154
373,30,5184
372,22,5206
371,19,5225
370,17,5242
369,18,5260
368,16,5276
367,12,5288
366,15,5303
365,13,5316
364,10,5326
363,22,5348
362,14,5362
361,9,5371
360,13,5384
359,15,5399
358,9,5408
357,9,5417
356,15,5432
355,18,5450
354,7,5457
353,16,5473
352,12,5485
351,12,5497
350,6,5503
349,9,5512
348,6,5518
347,8,5526
346,4,5530
345,9,5539
344,9,5548
343,9,5557
342,15,5572
341,5,5577
340,4,5581
339,8,5589
338,2,5591
337,4,5595
336,11,5606
335,6,5612
334,4,5616
333,6,5622
332,6,5628
331,3,5631
330,3,5634
329,8,5642
328,3,5645
327,2,5647
326,9,5656
325,2,5658
324,2,5660
323,4,5664
322,6,5670
321,7,5677
320,3,5680
319,3,5683
318,4,5687
317,1,5688
316,4,5692
315,1,5693
314,3,5696
313,8,5704
312,3,5707
311,2,5709
310,3,5712
309,4,5716
308,1,5717
307,1,5718
306,1,5719
305,3,5722
304,2,5724
303,3,5727
302,,5727
301,2,5729
300,2,5731
300分以下,193,5924
