分数,本段人数,累计人数
500分及以上,,
499,,
498,,
497,,
496,1,1
495,1,2
494,,2
493,1,3
492,,3
491,1,4
490,,4
489,,4
488,1,5
487,2,7
486,4,11
485,2,13
484,4,17
483,4,21
482,2,23
481,7,30
480,4,34
479,4,38
478,4,42
477,5,47
476,6,53
475,9,62
474,5,67
473,10,77
472,13,90
471,17,107
470,12,119
469,11,130
468,11,141
467,7,148
466,15,163
465,8,171
464,15,186
463,12,198
462,18,216
461,5,221
460,8,229
459,19,248
458,9,257
457,20,277
456,8,285
455,12,297
454,13,310
453,13,323
452,16,339
451,14,353
450,9,362
449,24,386
448,13,399
447,19,418
446,19,437
445,17,454
444,16,470
443,14,484
442,8,492
441,21,513
440,15,528
439,19,547
438,14,561
437,16,577
436,13,590
435,21,611
434,11,622
433,12,634
432,8,642
431,7,649
430,18,667
429,18,685
428,19,704
427,14,718
426,13,731
425,16,747
424,19,766
423,19,785
422,15,800
421,14,814
420,22,836
419,15,851
418,16,867
417,15,882
416,13,895
415,19,914
414,21,935
413,11,946
412,9,955
411,12,967
410,15,982
409,14,996
408,16,1012
407,12,1024
406,9,1033
405,13,1046
404,12,1058
403,13,1071
402,14,1085
401,15,1100
400,13,1113
399,8,1121
398,5,1126
397,2,1128
396,13,1141
395,13,1154
394,14,1168
393,5,1173
392,5,1178
391,10,1188
390,12,1200
389,4,1204
388,9,1213
387,5,1218
386,8,1226
385,8,1234
384,6,1240
383,2,1242
382,3,1245
381,4,1249
380,4,1253
379,4,1257
378,3,1260
377,8,1268
376,,1268
375,4,1272
374,4,1276
373,,1276
372,6,1282
371,6,1288
370,3,1291
369,3,1294
368,6,1300
367,1,1301
366,2,1303
365,3,1306
364,2,1308
363,2,1310
362,1,1311
361,1,1312
360,1,1313
359,1,1314
358,1,1315
357,1,1316
356,,1316
355,2,1318
354,1,1319
353,,1319
352,1,1320
351,,1320
350,4,1324
349,2,1326
348,1,1327
347,2,1329
346,2,1331
345,1,1332
344,1,1333
343,1,1334
342,1,1335
341,1,1336
340,,1336
339,,1336
338,,1336
337,,1336
336,1,1337
335,1,1338
334,,1338
333,2,1340
332,1,1341
331,,1341
330,,1341
329,,1341
328,,1341
327,,1341
326,1,1342
325,2,1344
324,1,1345
323,2,1347
322,1,1348
321,,1348
320,,1348
319,,1348
318,,1348
317,,1348
316,,1348
315,,1348
314,1,1349
313,,1349
312,1,1350
311,,1350
310,,1350
309,,1350
308,,1350
307,,1350
306,,1350
305,,1350
304,,1350
303,1,1351
302,,1351
301,,1351
300,1,1352
300分以下,42,1394
