分数,本段人数,累计人数
500分及以上,1,1
499,,1
498,,1
497,,1
496,1,2
495,,2
494,2,4
493,,4
492,2,6
491,2,8
490,1,9
489,2,11
488,4,15
487,1,16
486,5,21
485,3,24
484,7,31
483,10,41
482,5,46
481,7,53
480,5,58
479,6,64
478,8,72
477,12,84
476,6,90
475,8,98
474,9,107
473,12,119
472,9,128
471,8,136
470,5,141
469,11,152
468,9,161
467,20,181
466,16,197
465,17,214
464,13,227
463,20,247
462,15,262
461,17,279
460,16,295
459,13,308
458,18,326
457,23,349
456,20,369
455,17,386
454,26,412
453,16,428
452,17,445
451,17,462
450,14,476
449,18,494
448,20,514
447,17,531
446,24,555
445,25,580
444,32,612
443,25,637
442,21,658
441,26,684
440,16,700
439,22,722
438,28,750
437,20,770
436,17,787
435,24,811
434,12,823
433,26,849
432,19,868
431,16,884
430,17,901
429,18,919
428,17,936
427,17,953
426,17,970
425,20,990
424,15,1005
423,17,1022
422,15,1037
421,18,1055
420,19,1074
419,13,1087
418,16,1103
417,19,1122
416,17,1139
415,22,1161
414,15,1176
413,12,1188
412,13,1201
411,16,1217
410,20,1237
409,14,1251
408,11,1262
407,12,1274
406,14,1288
405,12,1300
404,15,1315
403,10,1325
402,17,1342
401,8,1350
400,10,1360
399,8,1368
398,14,1382
397,9,1391
396,11,1402
395,5,1407
394,10,1417
393,9,1426
392,7,1433
391,12,1445
390,9,1454
389,6,1460
388,3,1463
387,10,1473
386,11,1484
385,8,1492
384,5,1497
383,7,1504
382,6,1510
381,8,1518
380,8,1526
379,8,1534
378,4,1538
377,4,1542
376,3,1545
375,3,1548
374,2,1550
373,3,1553
372,4,1557
371,1,1558
370,7,1565
369,6,1571
368,3,1574
367,,1574
366,3,1577
365,2,1579
364,5,1584
363,3,1587
362,3,1590
361,6,1596
360,2,1598
359,6,1604
358,5,1609
357,1,1610
356,2,1612
355,3,1615
354,1,1616
353,2,1618
352,5,1623
351,,1623
350,2,1625
349,5,1630
348,4,1634
347,,1634
346,,1634
345,1,1635
344,4,1639
343,1,1640
342,4,1644
341,2,1646
340,1,1647
339,3,1650
338,1,1651
337,3,1654
336,1,1655
335,1,1656
334,,1656
333,2,1658
332,,1658
331,,1658
330,,1658
329,1,1659
328,1,1660
327,1,1661
326,2,1663
325,,1663
324,1,1664
323,2,1666
322,,1666
321,1,1667
320,,1667
319,2,1669
318,,1669
317,,1669
316,,1669
315,1,1670
314,,1670
313,1,1671
312,,1671
311,,1671
310,,1671
309,,1671
308,2,1673
307,,1673
306,1,1674
305,,1674
304,,1674
303,2,1676
302,,1676
301,1,1677
300,1,1678
300分以下,85,1763
