分数,本段人数,累计人数
500分及以上,2,2
499,2,4
498,2,6
497,1,7
496,,7
495,1,8
494,4,12
493,,12
492,2,14
491,5,19
490,3,22
489,4,26
488,5,31
487,5,36
486,4,40
485,7,47
484,9,56
483,12,68
482,6,74
481,18,92
480,14,106
479,24,130
478,20,150
477,12,162
476,14,176
475,25,201
474,21,222
473,23,245
472,19,264
471,23,287
470,25,312
469,29,341
468,25,366
467,35,401
466,37,438
465,28,466
464,32,498
463,35,533
462,38,571
461,37,608
460,33,641
459,32,673
458,30,703
457,43,746
456,37,783
455,37,820
454,27,847
453,46,893
452,35,928
451,43,971
450,39,1010
449,31,1041
448,40,1081
447,45,1126
446,33,1159
445,31,1190
444,35,1225
443,35,1260
442,47,1307
441,53,1360
440,48,1408
439,42,1450
438,41,1491
437,41,1532
436,41,1573
435,40,1613
434,37,1650
433,39,1689
432,45,1734
431,44,1778
430,27,1805
429,43,1848
428,32,1880
427,46,1926
426,40,1966
425,29,1995
424,37,2032
423,35,2067
422,45,2112
421,32,2144
420,34,2178
419,28,2206
418,34,2240
417,28,2268
416,45,2313
415,38,2351
414,31,2382
413,31,2413
412,20,2433
411,20,2453
410,23,2476
409,42,2518
408,24,2542
407,22,2564
406,28,2592
405,32,2624
404,28,2652
403,27,2679
402,31,2710
401,24,2734
400,19,2753
399,22,2775
398,29,2804
397,19,2823
396,24,2847
395,16,2863
394,15,2878
393,18,2896
392,23,2919
391,20,2939
390,14,2953
389,20,2973
388,17,2990
387,20,3010
386,7,3017
385,10,3027
384,15,3042
383,10,3052
382,18,3070
381,12,3082
380,13,3095
379,11,3106
378,7,3113
377,14,3127
376,14,3141
375,12,3153
374,11,3164
373,8,3172
372,13,3185
371,3,3188
370,7,3195
369,8,3203
368,11,3214
367,8,3222
366,8,3230
365,6,3236
364,8,3244
363,4,3248
362,7,3255
361,4,3259
360,3,3262
359,4,3266
358,7,3273
357,4,3277
356,3,3280
355,5,3285
354,4,3289
353,5,3294
352,7,3301
351,2,3303
350,3,3306
349,1,3307
348,3,3310
347,3,3313
346,2,3315
345,7,3322
344,7,3329
343,6,3335
342,6,3341
341,1,3342
340,2,3344
339,4,3348
338,,3348
337,3,3351
336,2,3353
335,,3353
334,4,3357
333,3,3360
332,3,3363
331,2,3365
330,3,3368
329,3,3371
328,1,3372
327,2,3374
326,3,3377
325,,3377
324,2,3379
323,3,3382
322,3,3385
321,2,3387
320,4,3391
319,,3391
318,2,3393
317,,3393
316,,3393
315,1,3394
314,1,3395
313,,3395
312,1,3396
311,1,3397
310,,3397
309,1,3398
308,1,3399
307,,3399
306,2,3401
305,3,3404
304,,3404
303,2,3406
302,,3406
301,2,3408
300,4,3412
300分以下,148,3560
