分数,本段人数,累计人数
500分及以上,7,7
499,4,11
498,3,14
497,,14
496,4,18
495,4,22
494,5,27
493,10,37
492,2,39
491,9,48
490,8,56
489,2,58
488,11,69
487,14,83
486,16,99
485,16,115
484,16,131
483,20,151
482,24,175
481,10,185
480,18,203
479,30,233
478,27,260
477,32,292
476,27,319
475,27,346
474,38,384
473,34,418
472,29,447
471,30,477
470,43,520
469,35,555
468,29,584
467,48,632
466,48,680
465,36,716
464,41,757
463,52,809
462,37,846
461,44,890
460,48,938
459,50,988
458,53,1041
457,53,1094
456,44,1138
455,58,1196
454,55,1251
453,47,1298
452,55,1353
451,59,1412
450,58,1470
449,56,1526
448,50,1576
447,61,1637
446,52,1689
445,40,1729
444,55,1784
443,43,1827
442,47,1874
441,65,1939
440,60,1999
439,54,2053
438,48,2101
437,62,2163
436,48,2211
435,38,2249
434,47,2296
433,56,2352
432,45,2397
431,52,2449
430,43,2492
429,47,2539
428,38,2577
427,38,2615
426,43,2658
425,35,2693
424,38,2731
423,44,2775
422,31,2806
421,46,2852
420,38,2890
419,25,2915
418,40,2955
417,35,2990
416,32,3022
415,33,3055
414,32,3087
413,37,3124
412,25,3149
411,22,3171
410,27,3198
409,26,3224
408,26,3250
407,24,3274
406,24,3298
405,20,3318
404,33,3351
403,35,3386
402,12,3398
401,26,3424
400,24,3448
399,24,3472
398,17,3489
397,23,3512
396,18,3530
395,14,3544
394,17,3561
393,10,3571
392,19,3590
391,15,3605
390,17,3622
389,21,3643
388,12,3655
387,10,3665
386,8,3673
385,17,3690
384,11,3701
383,10,3711
382,15,3726
381,6,3732
380,12,3744
379,9,3753
378,8,3761
377,7,3768
376,8,3776
375,11,3787
374,7,3794
373,9,3803
372,7,3810
371,6,3816
370,9,3825
369,3,3828
368,8,3836
367,8,3844
366,5,3849
365,6,3855
364,1,3856
363,6,3862
362,3,3865
361,7,3872
360,8,3880
359,1,3881
358,3,3884
357,3,3887
356,2,3889
355,1,3890
354,4,3894
353,6,3900
352,5,3905
351,2,3907
350,4,3911
349,5,3916
348,1,3917
347,3,3920
346,1,3921
345,2,3923
344,1,3924
343,3,3927
342,1,3928
341,4,3932
340,2,3934
339,,3934
338,3,3937
337,,3937
336,4,3941
335,1,3942
334,4,3946
333,2,3948
332,1,3949
331,,3949
330,,3949
329,1,3950
328,3,3953
327,2,3955
326,,3955
325,1,3956
324,,3956
323,1,3957
322,1,3958
321,,3958
320,,3958
319,,3958
318,,3958
317,,3958
316,3,3961
315,,3961
314,,3961
313,,3961
312,,3961
311,,3961
310,,3961
309,1,3962
308,1,3963
307,2,3965
306,,3965
305,2,3967
304,2,3969
303,,3969
302,,3969
301,1,3970
300,,3970
300分以下,93,4063
