分数,本段人数,累计人数
500分及以上,,
499,,
498,,
497,,
496,,
495,,
494,,
493,,
492,,
491,1,1
490,,1
489,,1
488,1,2
487,1,3
486,,3
485,,3
484,6,9
483,2,11
482,5,16
481,3,19
480,3,22
479,2,24
478,8,32
477,8,40
476,7,47
475,12,59
474,14,73
473,9,82
472,10,92
471,17,109
470,13,122
469,14,136
468,19,155
467,18,173
466,20,193
465,14,207
464,20,227
463,20,247
462,14,261
461,22,283
460,18,301
459,17,318
458,21,339
457,22,361
456,25,386
455,28,414
454,23,437
453,22,459
452,23,482
451,31,513
450,36,549
449,24,573
448,26,599
447,32,631
446,32,663
445,29,692
444,26,718
443,35,753
442,23,776
441,23,799
440,32,831
439,23,854
438,33,887
437,32,919
436,22,941
435,25,966
434,17,983
433,28,1011
432,31,1042
431,22,1064
430,34,1098
429,30,1128
428,23,1151
427,25,1176
426,18,1194
425,28,1222
424,28,1250
423,34,1284
422,20,1304
421,31,1335
420,21,1356
419,19,1375
418,18,1393
417,18,1411
416,17,1428
415,19,1447
414,23,1470
413,23,1493
412,18,1511
411,22,1533
410,19,1552
409,14,1566
408,17,1583
407,11,1594
406,14,1608
405,21,1629
404,21,1650
403,17,1667
402,17,1684
401,16,1700
400,10,1710
399,13,1723
398,18,1741
397,10,1751
396,15,1766
395,14,1780
394,14,1794
393,16,1810
392,10,1820
391,11,1831
390,11,1842
389,11,1853
388,8,1861
387,8,1869
386,9,1878
385,12,1890
384,10,1900
383,14,1914
382,14,1928
381,6,1934
380,10,1944
379,3,1947
378,5,1952
377,6,1958
376,5,1963
375,10,1973
374,11,1984
373,6,1990
372,7,1997
371,11,2008
370,5,2013
369,7,2020
368,1,2021
367,6,2027
366,7,2034
365,5,2039
364,4,2043
363,5,2048
362,3,2051
361,2,2053
360,4,2057
359,3,2060
358,3,2063
357,4,2067
356,6,2073
355,10,2083
354,2,2085
353,2,2087
352,5,2092
351,1,2093
350,5,2098
349,2,2100
348,1,2101
347,1,2102
346,1,2103
345,,2103
344,2,2105
343,3,2108
342,1,2109
341,3,2112
340,5,2117
339,,2117
338,1,2118
337,1,2119
336,,2119
335,2,2121
334,2,2123
333,4,2127
332,1,2128
331,2,2130
330,,2130
329,1,2131
328,1,2132
327,,2132
326,,2132
325,1,2133
324,1,2134
323,,2134
322,1,2135
321,2,2137
320,1,2138
319,2,2140
318,2,2142
317,,2142
316,1,2143
315,,2143
314,,2143
313,,2143
312,3,2146
311,2,2148
310,1,2149
309,1,2150
308,1,2151
307,,2151
306,1,2152
305,,2152
304,,2152
303,,2152
302,,2152
301,,2152
300,,2152
300分以下,47,2199
