分数,本段人数,累计人数
500分及以上,,
499,1,1
498,1,2
497,,2
496,,2
495,,2
494,,2
493,,2
492,1,3
491,,3
490,2,5
489,2,7
488,2,9
487,2,11
486,,11
485,1,12
484,2,14
483,,14
482,2,16
481,2,18
480,,18
479,1,19
478,6,25
477,3,28
476,3,31
475,1,32
474,8,40
473,4,44
472,4,48
471,6,54
470,6,60
469,4,64
468,11,75
467,10,85
466,9,94
465,11,105
464,9,114
463,11,125
462,10,135
461,10,145
460,7,152
459,10,162
458,14,176
457,13,189
456,15,204
455,16,220
454,11,231
453,14,245
452,15,260
451,14,274
450,9,283
449,12,295
448,18,313
447,13,326
446,12,338
445,14,352
444,9,361
443,11,372
442,18,390
441,17,407
440,13,420
439,17,437
438,13,450
437,24,474
436,16,490
435,15,505
434,21,526
433,26,552
432,22,574
431,22,596
430,17,613
429,19,632
428,17,649
427,18,667
426,16,683
425,17,700
424,18,718
423,17,735
422,18,753
421,22,775
420,19,794
419,13,807
418,11,818
417,19,837
416,21,858
415,12,870
414,13,883
413,20,903
412,23,926
411,16,942
410,21,963
409,21,984
408,23,1007
407,16,1023
406,19,1042
405,10,1052
404,15,1067
403,12,1079
402,21,1100
401,17,1117
400,15,1132
399,13,1145
398,14,1159
397,7,1166
396,15,1181
395,13,1194
394,19,1213
393,7,1220
392,13,1233
391,9,1242
390,7,1249
389,13,1262
388,11,1273
387,8,1281
386,10,1291
385,10,1301
384,11,1312
383,4,1316
382,14,1330
381,7,1337
380,8,1345
379,8,1353
378,11,1364
377,6,1370
376,9,1379
375,12,1391
374,10,1401
373,6,1407
372,9,1416
371,10,1426
370,10,1436
369,5,1441
368,8,1449
367,7,1456
366,11,1467
365,6,1473
364,7,1480
363,10,1490
362,7,1497
361,4,1501
360,9,1510
359,5,1515
358,4,1519
357,5,1524
356,7,1531
355,4,1535
354,5,1540
353,4,1544
352,4,1548
351,4,1552
350,1,1553
349,5,1558
348,4,1562
347,6,1568
346,4,1572
345,4,1576
344,6,1582
343,6,1588
342,3,1591
341,2,1593
340,3,1596
339,4,1600
338,6,1606
337,4,1610
336,4,1614
335,,1614
334,2,1616
333,3,1619
332,2,1621
331,3,1624
330,3,1627
329,4,1631
328,1,1632
327,2,1634
326,4,1638
325,2,1640
324,,1640
323,4,1644
322,,1644
321,1,1645
320,5,1650
319,,1650
318,1,1651
317,1,1652
316,2,1654
315,1,1655
314,1,1656
313,1,1657
312,2,1659
311,,1659
310,2,1661
309,,1661
308,,1661
307,,1661
306,1,1662
305,,1662
304,2,1664
303,1,1665
302,,1665
301,,1665
300,1,1666
300分以下,57,1723
