分数,本段人数,累计人数
500分及以上,,
499,1,1
498,,1
497,1,2
496,1,3
495,1,4
494,1,5
493,3,8
492,5,13
491,1,14
490,4,18
489,10,28
488,8,36
487,9,45
486,3,48
485,9,57
484,9,66
483,7,73
482,5,78
481,12,90
480,14,104
479,15,119
478,12,131
477,17,148
476,12,160
475,10,170
474,14,184
473,15,199
472,20,219
471,19,238
470,26,264
469,16,280
468,17,297
467,25,322
466,22,344
465,23,367
464,27,394
463,24,418
462,25,443
461,38,481
460,29,510
459,29,539
458,35,574
457,25,599
456,40,639
455,30,669
454,46,715
453,31,746
452,39,785
451,43,828
450,56,884
449,50,934
448,37,971
447,46,1017
446,41,1058
445,41,1099
444,49,1148
443,43,1191
442,34,1225
441,52,1277
440,46,1323
439,43,1366
438,43,1409
437,39,1448
436,35,1483
435,51,1534
434,48,1582
433,46,1628
432,31,1659
431,44,1703
430,40,1743
429,42,1785
428,54,1839
427,44,1883
426,46,1929
425,35,1964
424,39,2003
423,63,2066
422,38,2104
421,41,2145
420,37,2182
419,54,2236
418,39,2275
417,52,2327
416,31,2358
415,41,2399
414,37,2436
413,40,2476
412,42,2518
411,38,2556
410,24,2580
409,32,2612
408,39,2651
407,33,2684
406,30,2714
405,27,2741
404,45,2786
403,29,2815
402,34,2849
401,36,2885
400,25,2910
399,33,2943
398,24,2967
397,28,2995
396,27,3022
395,28,3050
394,35,3085
393,24,3109
392,23,3132
391,31,3163
390,28,3191
389,34,3225
388,21,3246
387,23,3269
386,21,3290
385,21,3311
384,19,3330
383,20,3350
382,29,3379
381,20,3399
380,12,3411
379,19,3430
378,18,3448
377,11,3459
376,14,3473
375,17,3490
374,13,3503
373,18,3521
372,20,3541
371,16,3557
370,10,3567
369,14,3581
368,12,3593
367,14,3607
366,10,3617
365,9,3626
364,10,3636
363,13,3649
362,11,3660
361,9,3669
360,7,3676
359,11,3687
358,10,3697
357,5,3702
356,9,3711
355,12,3723
354,8,3731
353,5,3736
352,6,3742
351,8,3750
350,4,3754
349,5,3759
348,6,3765
347,8,3773
346,10,3783
345,2,3785
344,10,3795
343,8,3803
342,4,3807
341,2,3809
340,6,3815
339,8,3823
338,2,3825
337,4,3829
336,3,3832
335,3,3835
334,6,3841
333,2,3843
332,4,3847
331,1,3848
330,4,3852
329,7,3859
328,1,3860
327,1,3861
326,2,3863
325,5,3868
324,4,3872
323,1,3873
322,,3873
321,4,3877
320,2,3879
319,1,3880
318,6,3886
317,2,3888
316,3,3891
315,3,3894
314,1,3895
313,3,3898
312,3,3901
311,1,3902
310,2,3904
309,1,3905
308,1,3906
307,,3906
306,5,3911
305,1,3912
304,2,3914
303,,3914
302,,3914
301,1,3915
300,,3915
300分以下,120,4035
