分数,本段人数,累计人数
500分及以上,,
499,1,1
498,1,2
497,,2
496,2,4
495,4,8
494,5,13
493,2,15
492,2,17
491,4,21
490,2,23
489,5,28
488,13,41
487,5,46
486,14,60
485,6,66
484,7,73
483,11,84
482,13,97
481,17,114
480,14,128
479,19,147
478,18,165
477,17,182
476,15,197
475,28,225
474,21,246
473,17,263
472,24,287
471,29,316
470,26,342
469,24,366
468,25,391
467,26,417
466,30,447
465,36,483
464,24,507
463,37,544
462,42,586
461,32,618
460,46,664
459,42,706
458,42,748
457,33,781
456,36,817
455,44,861
454,36,897
453,38,935
452,44,979
451,39,1018
450,52,1070
449,42,1112
448,32,1144
447,39,1183
446,44,1227
445,35,1262
444,47,1309
443,42,1351
442,43,1394
441,39,1433
440,43,1476
439,41,1517
438,43,1560
437,28,1588
436,48,1636
435,34,1670
434,42,1712
433,32,1744
432,37,1781
431,42,1823
430,40,1863
429,40,1903
428,32,1935
427,33,1968
426,43,2011
425,47,2058
424,29,2087
423,41,2128
422,37,2165
421,40,2205
420,29,2234
419,37,2271
418,23,2294
417,33,2327
416,35,2362
415,24,2386
414,34,2420
413,34,2454
412,27,2481
411,30,2511
410,31,2542
409,30,2572
408,26,2598
407,25,2623
406,32,2655
405,25,2680
404,18,2698
403,16,2714
402,30,2744
401,17,2761
400,19,2780
399,10,2790
398,20,2810
397,15,2825
396,15,2840
395,13,2853
394,15,2868
393,10,2878
392,12,2890
391,10,2900
390,8,2908
389,17,2925
388,8,2933
387,9,2942
386,11,2953
385,13,2966
384,6,2972
383,12,2984
382,7,2991
381,5,2996
380,6,3002
379,6,3008
378,5,3013
377,7,3020
376,4,3024
375,6,3030
374,4,3034
373,2,3036
372,7,3043
371,5,3048
370,7,3055
369,3,3058
368,2,3060
367,1,3061
366,5,3066
365,2,3068
364,6,3074
363,3,3077
362,6,3083
361,3,3086
360,2,3088
359,4,3092
358,1,3093
357,3,3096
356,2,3098
355,1,3099
354,1,3100
353,4,3104
352,7,3111
351,2,3113
350,2,3115
349,,3115
348,1,3116
347,,3116
346,1,3117
345,2,3119
344,2,3121
343,3,3124
342,,3124
341,2,3126
340,2,3128
339,4,3132
338,1,3133
337,,3133
336,1,3134
335,2,3136
334,1,3137
333,2,3139
332,1,3140
331,2,3142
330,1,3143
329,1,3144
328,1,3145
327,1,3146
326,1,3147
325,1,3148
324,1,3149
323,1,3150
322,1,3151
321,,3151
320,1,3152
319,,3152
318,,3152
317,1,3153
316,3,3156
315,1,3157
314,2,3159
313,3,3162
312,1,3163
311,,3163
310,,3163
309,,3163
308,2,3165
307,,3165
306,,3165
305,1,3166
304,,3166
303,,3166
302,,3166
301,,3166
300,,3166
300分以下,144,3310
