分数,本段人数,累计人数
500分及以上,,
499,,
498,,
497,1,1
496,,1
495,,1
494,,1
493,,1
492,1,2
491,1,3
490,1,4
489,2,6
488,3,9
487,3,12
486,2,14
485,4,18
484,2,20
483,6,26
482,1,27
481,7,34
480,4,38
479,6,44
478,7,51
477,2,53
476,5,58
475,10,68
474,6,74
473,7,81
472,8,89
471,14,103
470,9,112
469,7,119
468,12,131
467,12,143
466,15,158
465,10,168
464,10,178
463,19,197
462,8,205
461,15,220
460,13,233
459,12,245
458,21,266
457,19,285
456,16,301
455,8,309
454,12,321
453,14,335
452,12,347
451,14,361
450,16,377
449,12,389
448,15,404
447,12,416
446,13,429
445,13,442
444,11,453
443,13,466
442,16,482
441,7,489
440,10,499
439,8,507
438,14,521
437,14,535
436,10,545
435,9,554
434,9,563
433,8,571
432,15,586
431,14,600
430,6,606
429,8,614
428,9,623
427,9,632
426,8,640
425,9,649
424,6,655
423,5,660
422,8,668
421,7,675
420,12,687
419,4,691
418,11,702
417,7,709
416,6,715
415,3,718
414,12,730
413,8,738
412,4,742
411,7,749
410,7,756
409,3,759
408,3,762
407,10,772
406,7,779
405,9,788
404,2,790
403,7,797
402,10,807
401,3,810
400,5,815
399,4,819
398,4,823
397,5,828
396,6,834
395,4,838
394,3,841
393,6,847
392,1,848
391,3,851
390,4,855
389,4,859
388,,859
387,3,862
386,1,863
385,5,868
384,1,869
383,3,872
382,3,875
381,,875
380,5,880
379,1,881
378,2,883
377,2,885
376,3,888
375,,888
374,2,890
373,4,894
372,1,895
371,2,897
370,1,898
369,3,901
368,4,905
367,,905
366,2,907
365,2,909
364,3,912
363,2,914
362,1,915
361,3,918
360,2,920
359,1,921
358,,921
357,1,922
356,1,923
355,1,924
354,2,926
353,2,928
352,1,929
351,1,930
350,2,932
349,1,933
348,1,934
347,,934
346,,934
345,,934
344,1,935
343,3,938
342,1,939
341,,939
340,3,942
339,2,944
338,1,945
337,,945
336,1,946
335,,946
334,1,947
333,2,949
332,2,951
331,,951
330,,951
329,1,952
328,2,954
327,1,955
326,,955
325,3,958
324,,958
323,,958
322,2,960
321,1,961
320,,961
319,1,962
318,,962
317,1,963
316,1,964
315,1,965
314,,965
313,1,966
312,,966
311,,966
310,1,967
309,,967
308,1,968
307,1,969
306,1,970
305,3,973
304,1,974
303,2,976
302,1,977
301,,977
300,1,978
300分以下,49,1027
