分数,本段人数,累计人数
500分及以上,,
499,,
498,,
497,,
496,,
495,1,1
494,,1
493,,1
492,,1
491,1,2
490,1,3
489,,3
488,,3
487,1,4
486,,4
485,,4
484,,4
483,,4
482,3,7
481,,7
480,1,8
479,1,9
478,1,10
477,1,11
476,2,13
475,2,15
474,1,16
473,4,20
472,1,21
471,1,22
470,1,23
469,1,24
468,2,26
467,1,27
466,2,29
465,1,30
464,1,31
463,2,33
462,4,37
461,1,38
460,1,39
459,,39
458,1,40
457,1,41
456,1,42
455,2,44
454,2,46
453,5,51
452,2,53
451,7,60
450,3,63
449,6,69
448,5,74
447,9,83
446,1,84
445,7,91
444,3,94
443,5,99
442,3,102
441,6,108
440,8,116
439,4,120
438,7,127
437,4,131
436,6,137
435,4,141
434,3,144
433,5,149
432,6,155
431,2,157
430,9,166
429,4,170
428,5,175
427,4,179
426,5,184
425,4,188
424,5,193
423,7,200
422,9,209
421,8,217
420,5,222
419,3,225
418,8,233
417,6,239
416,2,241
415,11,252
414,8,260
413,2,262
412,6,268
411,6,274
410,3,277
409,5,282
408,6,288
407,2,290
406,7,297
405,7,304
404,6,310
403,8,318
402,6,324
401,6,330
400,5,335
399,4,339
398,4,343
397,4,347
396,5,352
395,3,355
394,4,359
393,8,367
392,2,369
391,9,378
390,5,383
389,3,386
388,9,395
387,3,398
386,6,404
385,7,411
384,8,419
383,8,427
382,4,431
381,8,439
380,1,440
379,7,447
378,8,455
377,7,462
376,1,463
375,8,471
374,5,476
373,6,482
372,2,484
371,7,491
370,7,498
369,3,501
368,3,504
367,3,507
366,3,510
365,6,516
364,2,518
363,2,520
362,5,525
361,2,527
360,3,530
359,4,534
358,3,537
357,3,540
356,,540
355,3,543
354,1,544
353,4,548
352,2,550
351,3,553
350,2,555
349,1,556
348,2,558
347,2,560
346,1,561
345,2,563
344,1,564
343,3,567
342,3,570
341,3,573
340,1,574
339,1,575
338,2,577
337,2,579
336,,579
335,1,580
334,1,581
333,1,582
332,2,584
331,1,585
330,1,586
329,2,588
328,,588
327,,588
326,1,589
325,2,591
324,1,592
323,2,594
322,,594
321,1,595
320,,595
319,3,598
318,1,599
317,1,600
316,2,602
315,,602
314,,602
313,,602
312,2,604
311,,604
310,2,606
309,2,608
308,2,610
307,1,611
306,,611
305,1,612
304,2,614
303,,614
302,,614
301,,614
300,1,615
300分以下,44,659
